"Position","News Title","News Link","Source"
1,"1 bug, $50k in bounties, and a Zendesk backdoor","https://gist.github.com/hackermondev/68ec8ed145fcee49d2f5e2b9d2cf2e52","gist.github.com"
2,"Starship Flight 5 license issued by FAA","https://drs.faa.gov/browse/excelExternalWindow/DRSDOCID173891218620231102140506.0001?modalOpened=true","faa.gov"
3,"PostgreSQL Streaming Replication (WAL); What It Is and How to Configure One","https://mindhub365.com/sql/postgresql-streaming-replication-wal-what-it-is-and-how-to-configure-one/","mindhub365.com"
4,"How I Animate 3Blue1Brown","https://www.youtube.com/watch?v=rbu7Zu5X1zI","youtube.com"
5,"It made me $500k but I think content is a bad business","https://swizec.com/blog/it-made-me-500k-but-i-think-content-is-a-bad-business/","swizec.com"
6,"Free Starship Booster catching arcade game","https://mechazilla.io/","mechazilla.io"
7,"Turkish language has a gossip tense","https://twitter.com/esesci/status/1843769276471349698","twitter.com/esesci"
8,"IcePanel (YC W23) Is Hiring Full Stack Engineers in Vancouver","https://www.ycombinator.com/companies/icepanel/jobs/rTmu6sL-senior-full-stack-software-engineer","ycombinator.com"
9,"DuckStation","https://github.com/stenzek/duckstation","github.com/stenzek"
10,"AMD's Turin: 5th Gen EPYC Launched","https://chipsandcheese.com/p/amds-turin-5th-gen-epyc-launched","chipsandcheese.com"
11,"Psilocybin Bests SSRI for Major Depression in First Long-Term Comparison","https://www.medscape.com/viewarticle/psilocybin-bests-ssri-major-depression-first-long-term-2024a1000h77","medscape.com"
12,"Lake Michigan Stonehenge – What Have Researchers Learned? – Illinois Fishing Hub","https://www.illinoisfishinghub.com/lake-michigan-stonehenge/","illinoisfishinghub.com"
13,"Putting a full power search engine in Ecto","https://moosie.us/parade_db_ecto","moosie.us"
14,"The phone ban has had a big impact on school work","https://icelandmonitor.mbl.is/news/news/2024/10/09/the_phone_ban_has_had_a_big_impact_on_school_work/","mbl.is"
15,"Researchers Find Cannibalized Victim of 19th-Century Arctic Voyage","https://www.nytimes.com/2024/10/04/science/franklin-expedition-cannibalism.html","nytimes.com"
16,"Started a guide to writing FUSE filesystems in Python","https://gwolf.org/2024/10/started-a-guide-to-writing-fuse-filesystems-in-python.html","gwolf.org"
17,"Six transplant patients in Brazil contract HIV from infected organs","https://www.reuters.com/world/americas/six-transplant-patients-brazil-contract-hiv-infected-organs-2024-10-11/","reuters.com"
18,"Python and SysV Shared Memory","https://euroquis.nl//blabla/2024/10/08/shm.html","euroquis.nl"
19,"Conway's Gradient of Life","https://hardmath123.github.io/conways-gradient.html","hardmath123.github.io"
20,"Swarm, a new agent framework by OpenAI","https://github.com/openai/swarm","github.com/openai"
21,"“Bad Apple” in Minecraft","https://purplesyringa.moe/blog/we-built-the-best-bad-apple-in-minecraft/","purplesyringa.moe"
22,"A Journey from Linux to FreeBSD","https://freebsdfoundation.org/blog/celebrating-freebsd-day-with-tara-stella-a-journey-from-linux-to-freebsd/","freebsdfoundation.org"
23,"Phase transitions in random circuit sampling [pdf]","https://www.nature.com/articles/s41586-024-07998-6.pdf","nature.com"
24,"Lm.rs: Minimal CPU LLM inference in Rust with no dependency","https://github.com/samuel-vitorino/lm.rs","github.com/samuel-vitorino"
25,"Show HN: Self-Hostable Algolia DocSearch Replacement","https://github.com/fastrepl/canary","github.com/fastrepl"
26,"The Society in Dedham for Apprehending Horse Thieves","https://en.wikipedia.org/wiki/The_Society_in_Dedham_for_Apprehending_Horse_Thieves","wikipedia.org"
27,"Latest Asahi Linux brings AAA gaming to Apple's M1 with respectable frame rates","https://www.tomshardware.com/laptops/macbooks/aaa-gaming-comes-to-apple-m1-thanks-to-the-latest-asahi-linux-build-control-cyberpunk-2077-and-the-witcher-3-are-playable-with-respectable-frame-rates","tomshardware.com"
28,"PeachPie Compiler: Compile and run PHP on top of .NET runtime","https://www.peachpie.io/","peachpie.io"
29,"Choosing solitude can free your mind and lift your mood","https://www.washingtonpost.com/wellness/2024/10/12/solitude-brain-health-emotions-creativity/","washingtonpost.com"
30,"Gboard double-sided version","https://landing.google.co.jp/double-sided/","landing.google.co.jp"
31,"The revival of the beach in twentieth-century Los Angeles","https://www.bbc.com/future/article/20241007-your-favourite-la-beaches-are-fake","bbc.com"
32,"Show HN: I made a URL expander because short links are too mainstream","https://urlshortenersaresoyesterdaytrythisamazingsuperlongurlexpander.site/","urlshortenersaresoyesterdaytrythisamazin..."
33,"With 'Megalopolis,' the Flop Era Returns to Cinemas","https://www.nytimes.com/2024/10/05/movies/megalopolis-francis-ford-coppola-flops.html","nytimes.com"
34,"INTELLECT–1: Launching the First Decentralized Training of a 10B Parameter Model","https://www.primeintellect.ai/blog/intellect-1","primeintellect.ai"
35,"Windows dynamic linking depends on the active code page","https://nullprogram.com/blog/2024/10/07/","nullprogram.com"
36,"Show HN: I made an Ollama summarizer for Firefox","https://addons.mozilla.org/en-US/firefox/addon/spacellama/","addons.mozilla.org"
37,"Windows 11 24H2 hoards 8.63 GB of junk you can't delete","https://www.theregister.com/2024/10/11/windows_update_cleanup/","theregister.com"
38,"Why do systems fail? Tandem NonStop system and fault tolerance","https://www.erlang-solutions.com/blog/why-do-systems-fail-tandem-nonstop-system-and-fault-tolerance/","erlang-solutions.com"
39,"How London's Crystal Palace was built so quickly","https://arstechnica.com/science/2024/10/how-londons-crystal-palace-was-built-so-quickly/","arstechnica.com"
40,"Fundamental physics is dying? [video]","https://www.youtube.com/watch?v=cBIvSGLkwJY","youtube.com"
41,"Understanding the Limitations of Mathematical Reasoning in LLMs","https://arxiv.org/abs/2410.05229","arxiv.org"
42,"What Ticketmaster doesn't want you to know: tickets were cheaper for decades","https://www.youtube.com/watch?v=u--se25_px8","youtube.com"
43,"A hardened Chromium for desktop Linux inspired by Vanadium","https://github.com/secureblue/hardened-chromium","github.com/secureblue"
44,"Working from home is powering productivity","https://www.imf.org/en/Publications/fandd/issues/2024/09/working-from-home-is-powering-productivity-bloom","imf.org"
45,"Run Llama locally with only PyTorch on CPU","https://github.com/anordin95/run-llama-locally","github.com/anordin95"
46,"Io_uring and seccomp (2022)","https://blog.0x74696d.com/posts/iouring-and-seccomp/","0x74696d.com"
47,"""Begin disabling installed extensions still using Manifest V2 in Chrome stable""","https://developer.chrome.com/docs/extensions/develop/migrate/mv2-deprecation-timeline","chrome.com"
48,"How long til we're all on Ozempic?","https://asteriskmag.com/issues/07/how-long-til-were-all-on-ozempic","asteriskmag.com"
49,"Helping wikis move away from Fandom","https://weirdgloop.org/blog/why-were-helping-more-wikis-move-away-from-fandom","weirdgloop.org"
50,"Understanding the Android Virtualization Framework (AVF)","https://fungi8210.medium.com/understanding-the-android-virtualization-framework-avf-a9218e50056d","fungi8210.medium.com"
51,"FreeBSD: How Can We Make It More Attractive to New Users?","https://gyptazy.com/freebsd-how-can-we-make-it-more-attractive-to-new-users/","gyptazy.com"
52,"Nurdle Patrol","https://www.nurdlepatrol.org/app/","nurdlepatrol.org"
53,"Rumors on X Are Becoming the Right's New Reality","https://www.theatlantic.com/ideas/archive/2024/10/rumors-x-twitter-musk/680219/","theatlantic.com"
54,"A Lisp compiler to RISC-V written in Lisp","http://www.ulisp.com/show?4Y20","ulisp.com"
55,"Plugging abandoned oil wells and stopping methane leaks [video]","https://www.youtube.com/watch?v=m8QWxJhna8Y","youtube.com"
56,"AAA Gaming on Asahi Linux","https://rosenzweig.io/blog/aaa-gaming-on-m1.html","rosenzweig.io"
57,"Gleam: A Basic Introduction","https://peq42.com/blog/gleam-a-basic-introduction/","peq42.com"
58,"Bear is a tool that generates a compilation database for Clang tooling","https://github.com/rizsotto/Bear","github.com/rizsotto"
59,"Ryzen 9000X3D performance according to MSI","https://videocardz.com/newz/msi-leaks-ryzen-9000x3d-2-to-13-higher-gaming-performance-than-7000x3d","videocardz.com"
60,"Show HN: Sendsheets.com – send personalized emails from Google Sheets","https://sendsheets.com","sendsheets.com"
61,"Nobel Peace Prize for 2024 awarded to Nihon Hidankyo","https://www.nobelprize.org/press-release-peace-2024/","nobelprize.org"
62,"An exoskeleton let a paralyzed man walk, then its maker refused repairs","https://www.washingtonpost.com/nation/2024/10/08/exoskeleton-paralyzed-repairs-michael-straight/","washingtonpost.com"
63,"Show HN: HTML for People","https://htmlforpeople.com","htmlforpeople.com"
64,"Show HN: Pocache, preemptive optimistic caching for Go","https://github.com/naughtygopher/pocache","github.com/naughtygopher"
65,"A Swiss firm’s software mines the world’s knowledge for patent opportunities","https://spectrum.ieee.org/ai-inventions","ieee.org"
